,repository_name,language
0,afranio-viana,
1,Alura-Challenges-Back-End-7,C#
2,anmol098,
3,birthday-card-,Kotlin
4,Consumo_API_Zenvia,Python
5,course-data-engineering,Python
6,darknet,
7,Dice-Roller,Kotlin
8,etl-github,
9,Formacao-APIs-com-Node.js-e-Express,
10,Formacao-Aprenda-a-programar-em-C-Sharp-com-Orientacao-a-Objetos,C#
11,Formacao-Aprofunde-em-.NET-com-Arquitetura-de-Microsservicos-e-RabbitMQ,
12,Formacao-ASP.Net-Core-crie-aplicacoes-com-C-sharp-NET-Entity-Framework-e-LINQ,C#
13,Formacao_javascript_alura,JavaScript
14,HyrulePedia,CSS
15,interface-ecommerce,PHP
16,Interface-MyTeacher,TypeScript
17,lemonade-app,Kotlin
18,Mrula-Mobile,Java
19,MySoil-Mobile,Java
20,Ouse-com-o-Framework-Vue.js-3,
21,pipeline-etl,Jupyter Notebook
22,Projeto-Python-3,Python
23,server-ecommerce,JavaScript
24,Trabalho-de-S.O-Parte-1-,C
25,waka-readme-stats,
26,Water-Monitor-System,Kotlin
